#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GetSwordName_Swift;Swift;;;;Rápido;;;;;;;;;x
GetSwordName_Snow;Snow;;;;Nieve;;;;;;;;;x
GetSwordName_Blight;Blight;;;;;;;;;;;;;x
GetSwordName_Solar;Solar;;;;;;;;;;;;;x
GetSwordName_Earth;Earth;;;;;;;;;;;;;x
GetSwordName_Life;Life;;;;;;;;;;;;;x
GetSwordName_Herons;Herons;;;;;;;;;;;;;x
GetSwordName_Way;Way;;;;;;;;;;;;;x
GetSwordName_Wound;Wound;;;;;;;;;;;;;x
GetSwordName_Town;Town;;;;;;;;;;;;;x
GetSwordName_Ring;Ring;;;;;;;;;;;;;x
GetSwordName_Green;Green;;;;;;;;;;;;;x
GetSwordName_Grey;Grey;;;;;;;;;;;;;x
GetSwordName_Pink;Pink;;;;;;;;;;;;;x
GetSwordName_Crow;Crow;;;Cuervo;;;;;;;;;;x
GetSwordName_Spring;Spring;;;;Primavera;;;;;;;;;x
GetSwordName_Winter;Winter;;;;Invierno;;;;;;;;;x
GetSwordName_Summer;Summer;;;;Verano;;;;;;;;;x
GetSwordName_Old;Old;;;;Antigua;;;;;;;;;x
GetSwordName_Pure;Pure;;;;;;;;;;;;;x
GetSwordName_Gods;Gods;;;;Dioses;;;;;;;;;x
GetSwordName_Lion;Lion;;;;León;;;;;;;;;x
GetSwordName_Dragon;Dragon;;;;Dragón;;;;;;;;;x
GetSwordName_Wolf;Wolf;;;;Lobo;;;;;;;;;x
GetSwordName_Stag;Stag;;;;Ciervo;;;;;;;;;x
GetSwordName_Rose;Rose;;;;Rosa;;;;;;;;;x
GetSwordName_Falcon;Falcon;;;;Halcón;;;;;;;;;x
GetSwordName_Kraken;Kraken;;;;;;;;;;;;;x
GetSwordName_Rebel;Rebel;;;;;;;;;;;;;x
GetSwordName_Foes;Foes;;;;;;;;;;;;;x
GetSwordName_Glow;Glow;;;;;;;;;;;;;x
GetSwordName_Torments;Torments;;;;;;;;;;;;;x
GetSwordName_Raven;Raven;;;;;;;;;;;;;x
GetSwordName_Coin;Coin;;;;;;;;;;;;;x
GetSwordName_Doom;Doom;;;;;;;;;;;;;x
GetSwordName_Far;Far;;;;;;;;;;;;;x
GetSwordName_Mind;Mind;;;;;;;;;;;;;x
GetSwordName_Shield;Shield;;;;;;;;;;;;;x
GetSwordName_Sight;Sight;;;;;;;;;;;;;x
GetSwordName_Rain;Rain;;;;;;;;;;;;;x
GetSwordName_Sage;Sage;;;;;;;;;;;;;x
GetSwordName_Brave;Brave;;;;;;;;;;;;;x
GetSwordName_Chaos;Chaos;;;;;;;;;;;;;x
GetSwordName_Key;Key;;;;;;;;;;;;;x
GetSwordName_Tall;Tall;;;;;;;;;;;;;x
GetSwordName_Just;Just;;;;;;;;;;;;;x
GetSwordName_Pan;Pan;;;;;;;;;;;;;x
GetSwordName_Bastard;Bastard;;;;;;;;;;;;;x
GetSwordName_Twin;Twin;;;;;;;;;;;;;x
GetSwordName_Fair;Fair;;;;;;;;;;;;;x
GetSwordName_Quick;Quick;;;;;;;;;;;;;x
GetSwordName_Slow;Slow;;;;;;;;;;;;;x
GetSwordName_Strong;Strong;;;;;;;;;;;;;x
GetSwordName_Duel;Duel;;;;;;;;;;;;;x
GetSwordName_Sloth;Sloth;;;;;;;;;;;;;x
GetSwordName_Zeal;Zeal;;;;;;;;;;;;;x
GetSwordName_Trust;Trust;;;;;;;;;;;;;x
GetSwordName_Brood;Brood;;;;;;;;;;;;;x
GetSwordName_Dull;Dull;;;;;;;;;;;;;x
GetSwordName_Giant;Giant;;;;;;;;;;;;;x
GetSwordName_Salt;Salt;;;;;;;;;;;;;x
GetSwordName_Rude;Rude;;;;;;;;;;;;;x
GetSwordName_Drown;Drown;;;;;;;;;;;;;x
GetSwordName_Grace;Grace;;;;;;;;;;;;;x
GetSwordName_Love;Love;;;;;;;;;;;;;x
GetSwordName_Eagle;Eagle;;;;;;;;;;;;;x
GetSwordName_Dire;Dire;;;;;;;;;;;;;x
GetSwordName_Wake;Wake;;;;;;;;;;;;;x
GetSwordName_Silent;Silent;;;;;;;;;;;;;x
GetSwordName_Half;Half;;;;;;;;;;;;;x
GetSwordName_Mad;Mad;;;;;;;;;;;;;x
GetSwordName_Bold;Bold;;;;;;;;;;;;;x
GetSwordName_Truth;Truth;;;;;;;;;;;;;x
GetSwordName_Jade;Jade;;;;;;;;;;;;;x
GetSwordName_Open;Open;;;;;;;;;;;;;x
GetSwordName_World;World;;;;;;;;;;;;;x
GetSwordName_Sand;Sand;;;;;;;;;;;;;x
GetSwordName_Dusk;Dusk;;;;;;;;;;;;;x
GetSwordName_Bitter;Bitter;;;;;;;;;;;;;x
GetSwordName_Break;Break;;;;;;;;;;;;;x
GetSwordName_Oaken;Oaken;;;;;;;;;;;;;x
GetSwordName_Sharp;Sharp;;;;;;;;;;;;;x
GetSwordName_Pale;Pale;;;;;;;;;;;;;x
GetSwordName_Even;Even;;;;;;;;;;;;;x
GetSwordName_Hard;Hard;;;;;;;;;;;;;x
GetSwordName_Sweet;Sweet;;;;;;;;;;;;;x
GetSwordName_Ebon;Ebon;;;;;;;;;;;;;x
GetSwordName_Sea;Sea;;;;;;;;;;;;;x
GetSwordName_Wild;Wild;;;;;;;;;;;;;x
GetSwordName_Grim;Grim;;;;;;;;;;;;;x
GetSwordName_Woe;Woe;;;;;;;;;;;;;x
GetSwordName_Ever;Ever;;;;;;;;;;;;;x
GetSwordName_Battle;Battle;;;;;;;;;;;;;x
GetSwordName_Widow;Widow;;;;;;;;;;;;;x
GetSwordName_Frost;Frost;;;;;;;;;;;;;x
GetSwordName_fyre;fyre;;;;Fuego;;;;;;;;;x
GetSwordName_roar;roar;;;;Rugido;;;;;;;;;x
GetSwordName_bane;bane;;;;Perdición;;;;;;;;;x
GetSwordName_claw;claw;;;;Garra;;;;;;;;;x
GetSwordName_GetWeaponType;[This.GetWeaponType];;;;;;;;;;;;;x
GetSwordName_fall;fall;;;;;;;;;;;;;x
GetSwordName_death;death;;;;;;;;;;;;;x
GetSwordName_rage;rage;;;;;;;;;;;;;x
GetSwordName_raze;raze;;;;;;;;;;;;;x
GetSwordName_fury;fury;;;;;;;;;;;;;x
GetSwordName_soul;soul;;;;;;;;;;;;;x
GetSwordName_reaver;reaver;;;;;;;;;;;;;x
GetSwordName_ghost;ghost;;;;;;;;;;;;;x
GetSwordName_whisper;whisper;;;;;;;;;;;;;x
GetSwordName_breaker;breaker;;;;;;;;;;;;;x
GetSwordName_slaughter;slaughter;;;;;;;;;;;;;x
GetSwordName_weep;weep;;;;;;;;;;;;;x
GetSwordName_slayer;slayer;;;;asesino;;;;;;;;;x
GetSwordName_moon;moon;;;;Luna;;;;;;;;;x
GetSwordName_breath;breath;;;;;;;;;;;;;x
GetSwordName_blade;blade;;;;;;;;;;;;;x
GetSwordName_steel;steel;;;;;;;;;;;;;x
GetSwordName_stalker;stalker;;;;;;;;;;;;;x
GetSwordName_brand;brand;;;;;;;;;;;;;x
GetSwordName_lust;lust;;;;lujuria;;;;;;;;;x
GetSwordName_thunder;thunder;;;;trueno;;;;;;;;;x
GetSwordName_scar;scar;;;;;;;;;;;;;x
GetSwordName_song;song;;;;;;;;;;;;;x
GetSwordName_guard;guard;;;;;;;;;;;;;x
GetSwordName_fear;fear;;;;;;;;;;;;;x
GetSwordName_peril;peril;;;;;;;;;;;;;x
GetSwordName_crusher;crusher;;;;;;;;;;;;;x
GetSwordName_spore;spore;;;;;;;;;;;;;x
GetSwordName_shadow;shadow;;;;;;;;;;;;;x
GetSwordName_heart;heart;;;;;;;;;;;;;x
GetSwordName_wand;wand;;;;;;;;;;;;;x
GetSwordName_spinner;spinner;;;;;;;;;;;;;x
GetSwordName_finder;finder;;;;;;;;;;;;;x
GetSwordName_wine;wine;;;;;;;;;;;;;x
GetSwordName_burn;burn;;;;;;;;;;;;;x
GetSwordName_lord;lord;;;;;;;;;;;;;x
GetSwordName_flower;flower;;;;;;;;;;;;;x
GetSwordName_flayer;flayer;;;;;;;;;;;;;x
GetSwordName_dream;dream;;;;;;;;;;;;;x
GetSwordName_knight;knight;;;;;;;;;;;;;x
GetSwordName_skin;skin;;;;;;;;;;;;;x
GetSwordName_river;river;;;;;;;;;;;;;x
GetSwordName_caller;caller;;;;;;;;;;;;;x
GetSwordName_shaper;shaper;;;;;;;;;;;;;x
GetSwordName_bearer;bearer;;;;;;;;;;;;;x
GetSwordName_pact;pact;;;;;;;;;;;;;x
GetSwordName_wand;wand;;;;;;;;;;;;;x
GetSwordName_bringer;bringer;;;;;;;;;;;;;x
GetSwordName_power;power;;;;;;;;;;;;;x
GetSwordName_giver;giver;;;;;;;;;;;;;x
GetSwordName_slicer;slicer;;;;;;;;;;;;;x
GetSwordName_blinder;blinder;;;;;;;;;;;;;x
GetSwordName_stone;stone;;;;;;;;;;;;;x
GetSwordName_saver;saver;;;;;;;;;;;;;x
GetSwordName_kind;kind;;;;;;;;;;;;;x
GetSwordName_guilt;guilt;;;;;;;;;;;;;x
GetSwordName_maim;maim;;;;;;;;;;;;;x
GetSwordName_hunt;hunt;;;;;;;;;;;;;x
GetSwordName_scheme;scheme;;;;;;;;;;;;;x
GetSwordName_watch;watch;;;;;;;;;;;;;x
GetSwordName_cloak;cloak;;;;;;;;;;;;;x
GetSwordName_ruin;ruin;;;;;;;;;;;;;x
GetSwordName_walker;walker;;;;;;;;;;;;;x
GetSwordName_warrior;warrior;;;;;;;;;;;;;x
GetSwordName_master;master;;;;;;;;;;;;;x
GetSwordName_hand;hand;;;;;;;;;;;;;x
GetSwordName_mark;mark;;;;;;;;;;;;;x
GetSwordName_binder;binder;;;;;;;;;;;;;x
GetSwordName_slave;slave;;;;;;;;;;;;;x
GetSwordName_flame;flame;;;;;;;;;;;;;x
GetSwordName_tooth;tooth;;;;;;;;;;;;;x
GetSwordName_legend;legend;;;;;;;;;;;;;x
GetSwordName_wind;wind;;;;;;;;;;;;;x
GetSwordName_whirl;whirl;;;;;;;;;;;;;x
GetSwordName_side;side;;;;;;;;;;;;;x
GetSwordName_cast;cast;;;;;;;;;;;;;x
GetSwordName_gazer;gazer;;;;;;;;;;;;;x
GetSwordName_viper;viper;;;;;;;;;;;;;x
GetSwordName_hawk;hawk;;;;;;;;;;;;;x
GetSwordName_born;born;;;;;;;;;;;;;x
GetSwordName_eye;eye;;;;;;;;;;;;;x
GetSwordName_maker;maker;;;;;;;;;;;;;x
GetSwordName_raider;raider;;;;;;;;;;;;;x
GetSwordName_mask;mask;;;;;;;;;;;;;x
GetSwordName_killer;killer;;;;;;;;;;;;;x
GetSwordName_grief;grief;;;;;;;;;;;;;x
GetSwordName_son;son;;;;;;;;;;;;;x
GetSwordName_Black;Black;;;;;;;;;;;;;x
GetSwordName_White;White;;;;;;;;;;;;;x
GetSwordName_Red;Red;;;;;;;;;;;;;x
GetSwordName_Blue;Blue;;;;;;;;;;;;;x
GetSwordName_Purple;Purple;;;;;;;;;;;;;x
GetSwordName_Silver;Silver;;;;;;;;;;;;;x
GetSwordName_Gold;Gold;;;;;;;;;;;;;x
GetSwordName_Golden;Golden;;;;;;;;;;;;;x
GetSwordName_Dark;Dark;;;;;;;;;;;;;x
GetSwordName_Lady's;Lady's;;;;;;;;;;;;;x
GetSwordName_Long;Long;;;;;;;;;;;;;x
GetSwordName_Night;Night;;;;;;;;;;;;;x
GetSwordName_Titan's;Titan's;;;;;;;;;;;;;x
GetSwordName_Hatred's;Hatred's;;;;;;;;;;;;;x
GetSwordName_Fortune's;Fortune's;;;;;;;;;;;;;x
GetSwordName_Shadow's;Shadow's;;;;;;;;;;;;;x
GetSwordName_Storm's;Storm's;;;;;;;;;;;;;x
GetSwordName_Bronze;Bronze;;;;;;;;;;;;;x
GetSwordName_Iron;Iron;;;;;;;;;;;;;x
GetSwordName_Faith's;Faith's;;;;;;;;;;;;;x
GetSwordName_Whisper's;Whisper's;;;;;;;;;;;;;x
GetSwordName_Frozen;Frozen;;;;;;;;;;;;;x
GetSwordName_Moon;Moon;;;;;;;;;;;;;x
GetSwordName_Sun's;Sun's;;;;;;;;;;;;;x
GetSwordName_Son's;Son's;;;;;;;;;;;;;x
GetSwordName_Eternal;Eternal;;;;;;;;;;;;;x
GetSwordName_Doom's;Doom's;;;;;;;;;;;;;x
GetSwordName_Hope's;Hope's;;;;;;;;;;;;;x
GetSwordName_Butcher's;Butcher's;;;;;;;;;;;;;x
GetSwordName_Destiny's;Destiny's;;;;;;;;;;;;;x
GetSwordName_Frail;Frail;;;;;;;;;;;;;x
GetSwordName_Misty;Misty;;;;;;;;;;;;;x
GetSwordName_Unending;Unending;;;;;;;;;;;;;x
GetSwordName_Life's;Life's;;;;;;;;;;;;;x
GetSwordName_Sailor's;Sailor's;;;;;;;;;;;;;x
GetSwordName_Blessed;Blessed;;;;;;;;;;;;;x
GetSwordName_Misfortune's;Misfortune's;;;;;;;;;;;;;x
GetSwordName_Dire;Dire;;;;;;;;;;;;;x
GetSwordName_Pain's;Pain's;;;;;;;;;;;;;x
GetSwordName_Truth's;Truth's;;;;;;;;;;;;;x
GetSwordName_Snow's;Snow's;;;;;;;;;;;;;x
GetSwordName_Hero's;Hero's;;;;;;;;;;;;;x
GetSwordName_Crystal;Crystal;;;;;;;;;;;;;x
GetSwordName_Grey;Grey;;;;;;;;;;;;;x
GetSwordName_GetNobleName's;[This.Owner.GetNobleName]'s;;;;;;;;;;;;;x
GetSwordName_This.GetTitle's;[This.Owner.GetTitle]'s;;;;;;;;;;;;;x
GetSwordName_This.Spouse.GetTitle's;[This.Owner.Spouse.GetTitle]'s;;;;;;;;;;;;;x
GetSwordName_This.TopLiege.GetTitle's;[This.Owner.TopLiege.GetTitle]'s;;;;;;;;;;;;;x
GetSwordName_This.TopLiege.Spouse.GetTitle's;[This.Owner.TopLiege.Spouse.GetTitle]'s;;;;;;;;;;;;;x
GetSwordName_Crow's;Crow's;;;;;;;;;;;;;x
GetSwordName_Winter's;Winter's;;;;;;;;;;;;;x
GetSwordName_Summer's;Summer's;;;;;;;;;;;;;x
GetSwordName_Spring's;Spring's;;;;;;;;;;;;;x
GetSwordName_River's;River's;;;;;;;;;;;;;x
GetSwordName_Gods;God's;;;;;;;;;;;;;x
GetSwordName_Seven's;Seven's;;;;;;;;;;;;;x
GetSwordName_RandomGodName;[This.Religion.GetRandomGodName]'s;;;;;;;;;;;;;x
GetSwordName_FirstName;[This.GetFirstName]'s;;;;;;;;;;;;;x
GetSwordName_CultureGroup;[This.Culture.GetGroupName];;;;;;;;;;;;;x
GetSwordName_Cultures;[This.Culture.GetName]'s;;;;;;;;;;;;;x
GetSwordName_Culture;[This.Culture.GetName];;;;;;;;;;;;;x
GetSwordName_Lion's;Lion's;;;;;;;;;;;;;x
GetSwordName_Dragon's;Dragon's;;;;;;;;;;;;;x
GetSwordName_Wolf's;Wolf's;;;;;;;;;;;;;x
GetSwordName_Stag's;Stag's;;;;;;;;;;;;;x
GetSwordName_Rose's;Rose's;;;;;;;;;;;;;x
GetSwordName_Falcon's;Falcon's;;;;;;;;;;;;;x
GetSwordName_Kraken's;Kraken's;;;;;;;;;;;;;x
GetSwordName_Dawn's;Dawn's;;;;;;;;;;;;;x
GetSwordName_Stone;Stone;;;;;;;;;;;;;x
GetSwordName_Singing;Singing;;;;;;;;;;;;;x
GetSwordName_Fierce;Fierce;;;;;;;;;;;;;x
GetSwordName_Brave;Brave;;;;;;;;;;;;;x
GetSwordName_Humble;Humble;;;;;;;;;;;;;x
GetSwordName_Kind;Kind;;;;;;;;;;;;;x
GetSwordName_Brutal;Brutal;;;;;;;;;;;;;x
GetSwordName_Elusive;Elusive;;;;;;;;;;;;;x
GetSwordName_Brilliant;Brilliant;;;;;;;;;;;;;x
GetSwordName_Quick;Quick;;;;;;;;;;;;;x
GetSwordName_Duelist's;Duelist's;;;;;;;;;;;;;x
GetSwordName_Hunter's;Hunter's;;;;;;;;;;;;;x
GetSwordName_Falconer's;Falconer's;;;;;;;;;;;;;x
GetSwordName_Pride's;Pride's;;;;;;;;;;;;;x
GetSwordName_Honest;Honest;;;;;;;;;;;;;x
GetSwordName_Shy;Shy;;;;;;;;;;;;;x
GetSwordName_Zealot's;Zealot's;;;;;;;;;;;;;x
GetSwordName_Seducer's;Seducer's;;;;;;;;;;;;;x
GetSwordName_Schemer's;Schemer's;;;;;;;;;;;;;x
GetSwordName_Willful;Willful;;;;;;;;;;;;;x
GetSwordName_Ruin's;Ruin's;;;;;;;;;;;;;x
GetSwordName_Walker's;Walker's;;;;;;;;;;;;;x
GetSwordName_Widow's;Widow's;;;;;;;;;;;;;x
GetSwordName_Warrior's;Warrior's;;;;;;;;;;;;;x
GetSwordName_Tiger's;Tiger's;;;;;;;;;;;;;x
GetSwordName_Elephant's;Elephant's;;;;;;;;;;;;;x
GetSwordName_Pirate's;Pirate's;;;;;;;;;;;;;x
GetSwordName_Holy;Holy;;;;;;;;;;;;;x
GetSwordName_Unyielding;Unyielding;;;;;;;;;;;;;x
GetSwordName_Stubborn;Stubborn;;;;;;;;;;;;;x
GetSwordName_Ruthless;Ruthless;;;;;;;;;;;;;x
GetSwordName_Silent;Silent;;;;;;;;;;;;;x
GetSwordName_Drowned;Drowned;;;;;;;;;;;;;x
GetSwordName_Eagle's;Eagle's;;;;;;;;;;;;;x
GetSwordName_Slave's;Slave's;;;;;;;;;;;;;x
GetSwordName_Strange;Strange;;;;;;;;;;;;;x
GetSwordName_Cleansing;Cleansing;;;;;;;;;;;;;x
GetSwordName_Exalted;Exalted;;;;;;;;;;;;;x
GetSwordName_Whirling;Whirling;;;;;;;;;;;;;x
GetSwordName_Hollow;Hollow;;;;;;;;;;;;;x
GetSwordName_Accursed;Accursed;;;;;;;;;;;;;x
GetSwordName_Undying;Undying;;;;;;;;;;;;;x
GetSwordName_Benign;Benign;;;;;;;;;;;;;x
GetSwordName_Righteous;Righteous;;;;;;;;;;;;;x
GetSwordName_Jade;Jade;;;;;;;;;;;;;x
GetSwordName_Winged;Winged;;;;;;;;;;;;;x
GetSwordName_Viper's;Viper's;;;;;;;;;;;;;x
GetSwordName_Gallant;Gallant;;;;;;;;;;;;;x
GetSwordName_World's;World's;;;;;;;;;;;;;x
GetSwordName_GetEarthName's;[This.Owner.GetEarthName]'s;;;;;;;;;;;;;x
GetSwordName_GetMoonName's;[This.Owner.GetMoonName]'s;;;;;;;;;;;;;x
GetSwordName_GetRegionalBigAnimalCap's;[This.Owner.GetRegionalBigAnimalCap]'s;;;;;;;;;;;;;x
GetSwordName_Unlikely;Unlikely;;;;;;;;;;;;;x
GetSwordName_Bright;Bright;;;;;;;;;;;;;x
GetSwordName_Morning's;Morning's;;;;;;;;;;;;;x
GetSwordName_Dusk's;Dusk's;;;;;;;;;;;;;x
GetSwordName_Pale;Pale;;;;;;;;;;;;;x
GetSwordName_Raider's;Raider's;;;;;;;;;;;;;x
GetSwordName_Faithful;Faithful;;;;;;;;;;;;;x
GetSwordName_Mighty;Mighty;;;;;;;;;;;;;x
GetSwordName_Daring;Daring;;;;;;;;;;;;;x
GetSwordName_Vieled;Vieled;;;;;;;;;;;;;x
GetSwordName_Last;Last;;;;;;;;;;;;;x
GetSwordName_Mummer's;Mummer's;;;;;;;;;;;;;x
GetSwordName_Grim;Grim;;;;;;;;;;;;;x
GetSwordName_Savage;Savage;;;;;;;;;;;;;x
GetSwordName_Devout;Devout;;;;;;;;;;;;;x
GetSwordName_Evening's;Evening's;;;;;;;;;;;;;x
GetSwordName_Nimble;Nimble;;;;;;;;;;;;;x
GetSwordName_Bard's;Bard's;;;;;;;;;;;;;x
GetSwordName_Sister;Sister;;;;;;;;;;;;;x
GetSwordName_Bane;Bane;;;;;;;;;;;;;x
GetSwordName_Maid;Maid;;;;;;;;;;;;;x
GetSwordName_Tooth;Tooth;;;;;;;;;;;;;x
GetSwordName_Rain;Rain;;;;;;;;;;;;;x
GetSwordName_Grief;Grief;;;;;;;;;;;;;x
GetSwordName_Anger;Anger;;;;;;;;;;;;;x
GetSwordName_Death;Death;;;;;;;;;;;;;x
GetSwordName_Glory;Glory;;;;;;;;;;;;;x
GetSwordName_Kiss;Kiss;;;;;;;;;;;;;x
GetSwordName_Fury;Fury;;;;;;;;;;;;;x
GetSwordName_Talon;Talon;;;;;;;;;;;;;x
GetSwordName_Justice;Justice;;;;;;;;;;;;;x
GetSwordName_Passion;Passion;;;;;;;;;;;;;x
GetSwordName_Rage;Rage;;;;;;;;;;;;;x
GetSwordName_Touch;Touch;;;;;;;;;;;;;x
GetSwordName_Mourning;Mourning;;;;;;;;;;;;;x
GetSwordName_Bite;Bite;;;;;;;;;;;;;x
GetSwordName_Guardian;Guardian;;;;;;;;;;;;;x
GetSwordName_Might;Might;;;;;;;;;;;;;x
GetSwordName_Fury;Fury;;;;;;;;;;;;;x
GetSwordName_Reaver;Reaver;;;;;;;;;;;;;x
GetSwordName_Hubris;Hubris;;;;;;;;;;;;;x
GetSwordName_Maid;Maid;;;;;;;;;;;;;x
GetSwordName_Weaver;Weaver;;;;;;;;;;;;;x
GetSwordName_Blood;Blood;;;;;;;;;;;;;x
GetSwordName_Chaos;Chaos;;;;;;;;;;;;;x
GetSwordName_Tyranny;Tyranny;;;;;;;;;;;;;x
GetSwordName_Defender;Defender;;;;;;;;;;;;;x
GetSwordName_Slaughter;Slaughter;;;;;;;;;;;;;x
GetSwordName_Daughter;Daughter;;;;;;;;;;;;;x
GetSwordName_Brother;Brother;;;;;;;;;;;;;x
GetSwordName_Father;Father;;;;;;;;;;;;;x
GetSwordName_Sapphire;Sapphire;;;;;;;;;;;;;x
GetSwordName_Sorrow;Sorrow;;;;;;;;;;;;;x
GetSwordName_Cruelty;Cruelty;;;;;;;;;;;;;x
GetSwordName_Oath;Oath;;;;;;;;;;;;;x
GetSwordName_Promise;Promise;;;;;;;;;;;;;x
GetSwordName_Venom;Venom;;;;;;;;;;;;;x
GetSwordName_Vengeance;Vengeance;;;;;;;;;;;;;x
GetSwordName_Honour;Honour;;;;;;;;;;;;;x
GetSwordName_Pledge;Pledge;;;;;;;;;;;;;x
GetSwordName_End;End;;;;;;;;;;;;;x
GetSwordName_Thunder;Thunder;;;;;;;;;;;;;x
GetSwordName_Scar;Scar;;;;;;;;;;;;;x
GetSwordName_Song;Song;;;;;;;;;;;;;x
GetSwordName_Denial;Denial;;;;;;;;;;;;;x
GetSwordName_Legacy;Legacy;;;;;;;;;;;;;x
GetSwordName_Bitch;Bitch;;;;;;;;;;;;;x
GetSwordName_Fear;Fear;;;;;;;;;;;;;x
GetSwordName_Bond;Bond;;;;;;;;;;;;;x
GetSwordName_Silence;Silence;;;;;;;;;;;;;x
GetSwordName_Vow;Vow;;;;;;;;;;;;;x
GetSwordName_Chance;Chance;;;;;;;;;;;;;x
GetSwordName_Scourge;Scourge;;;;;;;;;;;;;x
GetSwordName_Eye;Eye;;;;;;;;;;;;;x
GetSwordName_Might;Might;;;;;;;;;;;;;x
GetSwordName_Mercy;Mercy;;;;;;;;;;;;;x
GetSwordName_Traitor;Traitor;;;;;;;;;;;;;x
GetSwordName_Sting;Sting;;;;;;;;;;;;;x
GetSwordName_Forest;Forest;;;;;;;;;;;;;x
GetSwordName_Omen;Omen;;;;;;;;;;;;;x
GetSwordName_Throne;Throne;;;;;;;;;;;;;x
GetSwordName_Knight;Knight;;;;;;;;;;;;;x
GetSwordName_Rogue;Rogue;;;;;;;;;;;;;x
GetSwordName_Prince;Prince;;;;;;;;;;;;;x
GetSwordName_Law;Law;;;;;;;;;;;;;x
GetSwordName_Rainbow;Rainbow;;;;;;;;;;;;;x
GetSwordName_Warden;Warden;;;;;;;;;;;;;x
GetSwordName_Luck;Luck;;;;;;;;;;;;;x
GetSwordName_Fall;Fall;;;;;;;;;;;;;x
GetSwordName_Rebel;Rebel;;;;;;;;;;;;;x
GetSwordName_Foe;Foe;;;;;;;;;;;;;x
GetSwordName_Glow;Glow;;;;;;;;;;;;;x
GetSwordName_Air;Air;;;;;;;;;;;;;x
GetSwordName_Torment;Torment;;;;;;;;;;;;;x
GetSwordName_Day;Day;;;;;;;;;;;;;x
GetSwordName_Scalpel;Scalpel;;;;;;;;;;;;;x
GetSwordName_Blade;Blade;;;;;;;;;;;;;x
GetSwordName_Power;Power;;;;;;;;;;;;;x
GetSwordName_Shield;Shield;;;;;;;;;;;;;x
GetSwordName_Soul;Soul;;;;;;;;;;;;;x
GetSwordName_Wound;Wound;;;;;;;;;;;;;x
GetSwordName_Memory;Memory;;;;;;;;;;;;;x
GetSwordName_Claw;Claw;;;;;;;;;;;;;x
GetSwordName_Child;Child;;;;;;;;;;;;;x
GetSwordName_Master;Master;;;;;;;;;;;;;x
GetSwordName_Key;Key;;;;;;;;;;;;;x
GetSwordName_Wroth;Wroth;;;;;;;;;;;;;x
GetSwordName_Protector;Protector;;;;;;;;;;;;;x
GetSwordName_Sentinel;Sentinel;;;;;;;;;;;;;x
GetSwordName_Poem;Poem;;;;;;;;;;;;;x
GetSwordName_Eminence;Eminence;;;;;;;;;;;;;x
GetSwordName_Lunacy;Lunacy;;;;;;;;;;;;;x
GetSwordName_Bastard;Bastard;;;;;;;;;;;;;x
GetSwordName_Scholar;Scholar;;;;;;;;;;;;;x
GetSwordName_Impaler;Impaler;;;;;;;;;;;;;x
GetSwordName_Chastity;Chastity;;;;;;;;;;;;;x
GetSwordName_Greed;Greed;;;;;;;;;;;;;x
GetSwordName_Charity;Charity;;;;;;;;;;;;;x
GetSwordName_Envy;Envy;;;;;;;;;;;;;x
GetSwordName_Deceit;Deceit;;;;;;;;;;;;;x
GetSwordName_Ambition;Ambition;;;;;;;;;;;;;x
GetSwordName_Cynic;Cynic;;;;;;;;;;;;;x
GetSwordName_Trick;Trick;;;;;;;;;;;;;x
GetSwordName_Game;Game;;;;;;;;;;;;;x
GetSwordName_Idol;Idol;;;;;;;;;;;;;x
GetSwordName_Immortality;Immortality;;;;;;;;;;;;;x
GetSwordName_Cannibal;Cannibal;;;;;;;;;;;;;x
GetSwordName_Master;Master;;;;;;;;;;;;;x
GetSwordName_Dishonour;Dishonour;;;;;;;;;;;;;x
GetSwordName_Poison;Poison;;;;;;;;;;;;;x
GetSwordName_Seafoam;Seafoam;;;;;;;;;;;;;x
GetSwordName_Mark;Mark;;;;;;;;;;;;;x
GetSwordName_Favour;Favour;;;;;;;;;;;;;x
GetSwordName_Grace;Grace;;;;;;;;;;;;;x
GetSwordName_Love;Love;;;;;;;;;;;;;x
GetSwordName_Avenger;Avenger;;;;;;;;;;;;;x
GetSwordName_Flame;Flame;;;;;;;;;;;;;x
GetSwordName_Usurper;Usurper;;;;;;;;;;;;;x
GetSwordName_Martyr;Martyr;;;;;;;;;;;;;x
GetSwordName_Legend;Legend;;;;;;;;;;;;;x
GetSwordName_Terror;Terror;;;;;;;;;;;;;x
GetSwordName_Butcher;Butcher;;;;;;;;;;;;;x
GetSwordName_Wind;Wind;;;;;;;;;;;;;x
GetSwordName_Monster;Monster;;;;;;;;;;;;;x
GetSwordName_Purifier;Purifier;;;;;;;;;;;;;x
GetSwordName_Confession;Confession;;;;;;;;;;;;;x
GetSwordName_Cunning;Cunning;;;;;;;;;;;;;x
GetSwordName_Truth;Truth;;;;;;;;;;;;;x
GetSwordName_Peace;Peace;;;;;;;;;;;;;x
GetSwordName_Steel;Steel;;;;;;;;;;;;;x
GetSwordName_Weeper;Weeper;;;;;;;;;;;;;x
GetSwordName_Woe;Woe;;;;;;;;;;;;;x
GetSwordName_Battle;Battle;;;;;;;;;;;;;x
GetSwordName_Triumph;Triumph;;;;;;;;;;;;;x
GetSwordName_Compassion;Compassion;;;;;;;;;;;;;x
